City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,port mathurin,-19.6833,63.4167,26.710000000000036,73,19,7.4,MU,1706980720
160,yuzhno-kurilsk,44.0306,145.8556,-4.239999999999952,71,95,6.42,RU,1706980735
161,touggourt,33.1053,6.058,16.060000000000002,36,0,1.54,DZ,1706980803
162,simav,39.0882,28.9777,1.160000000000025,78,60,2.02,TR,1706980804
163,ternate,0.8,127.4,26.400000000000034,81,24,3.46,ID,1706980804
164,inhambane,-23.865,35.3833,25.350000000000023,76,94,4.03,MZ,1706980769
165,salinas,36.6777,-121.6555,10.460000000000036,82,75,7.2,US,1706980805
166,niquelandia,-14.4739,-48.4597,28.950000000000045,57,100,2.07,BR,1706980805
167,torquay,50.4638,-3.5143,12.550000000000011,93,74,2.24,GB,1706980627
168,gandajika,-6.75,23.95,23.05000000000001,84,69,0.56,CD,1706980805
169,sorong,-0.8833,131.25,27.670000000000016,82,71,6.53,ID,1706980806
170,patterson,37.4716,-121.1297,9.57000000000005,88,83,1.6,US,1706980806
171,tazovsky,67.4667,78.7,-14.310000000000002,93,100,3.36,RU,1706980806
172,kambove,-10.8764,26.5969,18.77000000000004,95,79,1.29,CD,1706980806
173,wanning,18.8003,110.3967,21.810000000000002,92,18,2.98,CN,1706980733
174,tramandai,-29.9847,-50.1336,26.860000000000014,68,0,6.21,BR,1706980807
175,jijiga,9.35,42.8,19.53000000000003,71,28,7.69,ET,1706980807
176,carnarvon,-24.8667,113.6333,23.52000000000004,82,3,10.77,AU,1706980807
177,hermanus,-34.4187,19.2345,25.450000000000045,64,71,5.9,ZA,1706980721
178,verkhnevilyuysk,63.4453,120.3167,-22.74999999999997,94,100,2.04,RU,1706980808
179,cidreira,-30.1811,-50.2056,26.430000000000007,69,0,6.7,BR,1706980808
180,tucurui,-3.7661,-49.6725,28.960000000000036,68,98,1.34,BR,1706980808
181,san pedro,14.35,121.0167,26.310000000000002,82,20,2.68,PH,1706980808
182,mana,5.6592,-53.7767,29.05000000000001,69,88,4.01,GF,1706980567
183,san luis de la loma,17.2706,-100.8939,28.52000000000004,53,0,3.83,MX,1706980774
184,east london,-33.0153,27.9116,25.32000000000005,85,14,7.08,ZA,1706980809
185,arkhangel'sk,64.5401,40.5433,-4.939999999999998,93,100,4.0,RU,1706980809
186,jayapura,-2.5333,140.7,23.660000000000025,90,93,1.71,ID,1706980809
187,vedea,43.7833,25.7833,7.28000000000003,67,19,3.92,RO,1706980809
188,hadibu,12.65,54.0333,25.08000000000004,76,85,3.2,YE,1706980810
189,kruisfontein,-34.0033,24.7314,23.27000000000004,91,84,4.48,ZA,1706980767
190,haiku-pauwela,20.9219,-156.3051,20.700000000000045,69,75,10.29,US,1706980744
191,touros,-5.1989,-35.4608,30.010000000000048,65,49,7.44,BR,1706980745
192,atafu village,-8.5421,-172.5159,28.78000000000003,77,100,8.58,TK,1706980811
193,alofi,-19.0595,-169.9187,24.939999999999998,100,100,1.54,NU,1706980729
194,makushino,55.2103,67.2442,-10.310000000000002,96,100,3.49,RU,1706980811
195,shakhtersk,48.0625,38.5167,-0.23999999999995225,98,100,7.89,UA,1706980811
196,tangalle,6.024,80.7911,24.760000000000048,86,53,3.25,LK,1706980811
197,nar'yan-mar,67.6713,53.087,-12.71999999999997,86,23,6.26,RU,1706980812
198,kerikeri,-35.2268,173.9474,11.620000000000005,88,2,1.6,NZ,1706980729
199,coari,-4.085,-63.1414,29.600000000000023,68,91,1.65,BR,1706980811
200,al bawiti,28.3492,28.8659,11.410000000000025,39,0,3.12,EG,1706980812
201,northam,51.0333,-4.2167,11.330000000000041,99,99,7.43,GB,1706980813
202,phang nga,8.4509,98.5298,26.02000000000004,85,15,1.01,TH,1706980560
203,posse,-14.0931,-46.3694,26.090000000000032,67,97,1.28,BR,1706980594
204,santa rosalia,27.3167,-112.2833,15.07000000000005,51,0,1.06,MX,1706980813
205,codrington,-38.2667,141.9667,14.140000000000043,92,20,1.78,AU,1706980813
206,villanueva,15.3167,-88.0,30.58000000000004,51,20,4.12,HN,1706980594
207,najran,17.4924,44.1277,18.360000000000014,30,47,2.6,SA,1706980814
208,port elizabeth,-33.918,25.5701,24.5,94,100,3.09,ZA,1706980814
209,novodvinsk,64.4165,40.8122,-5.139999999999986,98,79,3.1,RU,1706980814
210,sandnessjoen,66.0217,12.6316,-0.7099999999999795,98,100,11.04,NO,1706980815
211,peniche,39.3558,-9.3811,19.49000000000001,84,31,1.98,PT,1706980815
212,itaituba,-4.2761,-55.9836,31.090000000000032,66,40,4.12,BR,1706980815
213,geraldton,-28.7667,114.6,21.230000000000018,73,75,11.83,AU,1706980747
214,posto fiscal rolim de moura,-13.0833,-62.2667,30.680000000000007,64,26,1.56,BR,1706980603
215,bathsheba,13.2167,-59.5167,29.340000000000032,70,20,5.66,BB,1706980816
216,raduzhnyy,62.0961,77.475,-18.099999999999966,100,88,2.45,RU,1706980816
217,khandyga,62.6667,135.6,-42.579999999999984,100,72,1.07,RU,1706980663
218,rongelap,11.1635,166.8941,26.450000000000045,82,21,9.39,MH,1706980816
219,weinzierl bei krems,48.4,15.6,11.010000000000048,76,72,6.9,AT,1706980816
220,kedrovyy,56.1667,91.8167,-17.769999999999982,100,97,1.6,RU,1706980816
221,sitka,57.0531,-135.33,0.9399999999999977,80,100,2.57,US,1706980817
222,grand falls-windsor,48.9332,-55.6649,-2.5,91,100,2.68,CA,1706980663
223,poronaysk,49.2167,143.1167,-22.279999999999973,96,9,2.08,RU,1706980817
224,montepuez,-13.1256,38.9997,22.660000000000025,95,100,1.78,MZ,1706980817
225,palafrugell,41.9174,3.1631,17.420000000000016,50,23,3.93,ES,1706980818
226,luderitz,-26.6481,15.1594,21.80000000000001,81,8,6.2,NA,1706980818
227,kas,36.2018,29.6377,12.07000000000005,77,53,1.14,TR,1706980819
228,polyarnyy,69.1989,33.4478,-5.519999999999982,78,98,12.46,RU,1706980697
229,porto novo,6.4965,2.6036,30.900000000000034,42,96,3.78,BJ,1706980819
230,alo,7.4178,6.7371,36.68000000000001,12,58,1.85,NG,1706980820
231,zalesovo,53.9939,84.7431,-8.579999999999984,92,100,4.54,RU,1706980820
232,springs,-26.25,28.4,23.090000000000032,30,94,4.72,ZA,1706980821
233,okhotsk,59.3833,143.3,-24.879999999999967,76,8,7.46,RU,1706980821
234,broken hill,-31.95,141.4333,27.840000000000032,16,98,3.95,AU,1706980782
235,hasaki,35.7333,140.8333,5.220000000000027,64,100,2.98,JP,1706980822
236,murun-kuren,49.6342,100.1625,-18.169999999999987,86,100,0.7,MN,1706980823
237,podgornoye,51.735,39.1496,0.12000000000000455,93,100,5.0,RU,1706980824
238,kirakira,-10.4544,161.9205,27.0,83,97,4.35,SB,1706980824
239,tamanrasset,22.785,5.5228,18.950000000000045,9,0,8.23,DZ,1706980825
240,colares,38.7992,-9.4469,18.55000000000001,71,0,3.58,PT,1706980825
241,crane,31.3974,-102.3501,11.980000000000018,37,0,14.5,US,1706980826
242,borda da mata,-22.2742,-46.1653,26.840000000000032,52,100,1.83,BR,1706980826
243,mount pearl,47.5166,-52.7813,-1.6899999999999977,86,81,5.81,CA,1706980737
244,aasiaat,68.7098,-52.8699,-30.309999999999974,97,40,2.58,GL,1706980827
245,tolanaro,-25.0319,46.9987,24.28000000000003,80,19,6.95,MG,1706980827
246,port hedland,-20.3167,118.5667,28.03000000000003,83,60,10.29,AU,1706980828
247,nantucket,41.2835,-70.0995,0.08000000000004093,73,100,12.31,US,1706980828
248,lazaro cardenas,17.9583,-102.2,26.77000000000004,62,4,1.82,MX,1706980570
249,chapaev,50.2,51.1667,-3.7799999999999727,90,77,6.29,KZ,1706980569
250,zelenoborskiy,66.845,32.3622,-5.639999999999986,95,100,6.92,RU,1706980830
251,zakynthos,37.7914,20.8953,11.470000000000027,82,20,0.0,GR,1706980830
252,tura,25.5198,90.2201,13.150000000000034,33,0,1.7,IN,1706980831
253,arraial do cabo,-22.9661,-42.0278,30.980000000000018,74,75,8.75,BR,1706980831
254,sapele,5.8941,5.6767,37.07000000000005,15,74,0.93,NG,1706980832
255,bundaberg,-24.85,152.35,22.900000000000034,97,5,0.45,AU,1706980833
256,vegreville,53.5001,-112.0518,1.3000000000000114,93,100,5.66,CA,1706980833
257,ceres,37.5949,-120.9577,10.020000000000039,93,0,2.06,US,1706980709
258,al ghayzah,16.2079,52.176,25.160000000000025,75,0,3.66,YE,1706980834
259,rio preto da eva,-2.6994,-59.6997,33.910000000000025,48,53,2.11,BR,1706980834
260,saldanha,-33.0117,17.9442,29.03000000000003,77,87,1.71,ZA,1706980550
261,tukrah,32.5341,20.5791,13.890000000000043,71,21,2.9,LY,1706980835
262,raja,8.4596,25.678,25.390000000000043,17,51,2.13,SS,1706980835
263,ciudad lazaro cardenas,17.9583,-102.2,26.77000000000004,62,4,1.82,MX,1706980739
